"Economy","Disaggregation","2018","2019","2020","2021","2022","2023","2024","2025"
"Singapore","15 to 24 years","-","-","-","99.2672%","98.8327%","96.818%","97.9291%","-"
"Singapore","25 to 74 years","-","-","-","96.5665%","95.5291%","93.9217%","93.867%","-"
"Singapore","75 years and older","-","-","-","-","-","-","-","-"
"Solomon Islands","Overview","20.9%","26.3406%","33.1974%","41.8392%","42.094%","42.4597%","-","-"
"Solomon Islands","14 years and younger","-","-","-","-","-","-","-","-"
"Solomon Islands","15 to 24 years","-","-","-","-","-","-","-","-"
"Solomon Islands","25 to 74 years","-","-","-","-","-","-","-","-"
"Solomon Islands","75 years and older","-","-","-","-","-","-","-","-"
"South Africa","Overview","62.4%","69.6969%","72.1128%","74.9686%","75.4556%","75.6592%","-","-"
"South Africa","14 years and younger","-","-","-","-","-","-","-","-"
"South Africa","15 to 24 years","-","-","-","-","-","-","-","-"
"South Africa","25 to 74 years","-","-","-","-","-","-","-","-"
"South Africa","75 years and older","-","-","-","-","-","-","-","-"
"South Sudan","Overview","4.8%","6.7%","9.27123%","-","-","-","-","-"
"South Sudan","14 years and younger","-","-","-","-","-","-","-","-"
"South Sudan","15 to 24 years","-","-","-","-","-","-","-","-"
"South Sudan","25 to 74 years","-","-","-","-","-","-","-","-"
"South Sudan","75 years and older","-","-","-","-","-","-","-","-"
"Sri Lanka","Overview","28.3%","32%","36.1847%","44.4531%","48.3%","51.2%","-","-"
"Sri Lanka","14 years and younger","-","-","-","-","-","-","-","-"
"Sri Lanka","15 to 24 years","-","-","-","-","-","-","-","-"
"Sri Lanka","25 to 74 years","-","-","-","-","-","-","-","-"
"Sri Lanka","75 years and older","-","-","-","-","-","-","-","-"
"Tanzania","Overview","15.4907%","16.5909%","17.7693%","19.0314%","22.101%","29.0638%","-","-"
"Tanzania","14 years and younger","-","-","-","-","-","-","-","-"
"Tanzania","15 to 24 years","-","-","-","-","-","-","-","-"
"Tanzania","25 to 74 years","-","-","-","-","-","-","-","-"
"Tanzania","75 years and older","-","-","-","-","-","-","-","-"
"Thailand","Overview","56.8175%","66.6524%","77.8437%","85.2696%","87.9772%","89.5353%","90.8672%","-"
"Thailand","14 years and younger","69.5649%","73.8542%","90.1576%","96.354%","96.8068%","97.3398%","97.1449%","-"
"Thailand","15 to 24 years","91.3633%","95.475%","98.3633%","99.0403%","98.9315%","99.1324%","99.1574%","-"
"Thailand","25 to 74 years","50.9171%","63.7497%","76.4232%","85.2467%","88.2405%","90.5614%","92.0098%","-"
